dedupe_key,source,search_keyword,posting_company_name,title_bracket_text,preferred_company_name,job_title,job_url,location,experience,education,employment_type,deadline,job_sector_text,metadata_text,industry_signals,cs_terms,is_cs_relevant,cs_match_terms,excluded_noise_terms,inferred_industry,industry_reason
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193308,saramin,고객센터,(주)휴먼코아,엘올리보,엘올리보,[엘올리보] 스페인 레스토랑 신입 및 경력 직원 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193308&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,경기 과천시,경력무관,학력무관,정규직,~ 07/01(수) 입사지원,"소믈리에 , 조리사 , 주방보조 , 주방장 , 홀매니저 외 등록일 26/06/16",경기 과천시 | 경력무관 | 학력무관 | 정규직,,,false,,,외식/서비스,matched: 레스토랑
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193091,saramin,고객센터,(주)아르고티앤에스,,(주)아르고티앤에스,온라인 마케터 담당자(이커머스 분) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193091&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,인천 연수구,경력무관,학력무관,정규직,~ 07/16(목) 입사지원,"온라인판매 , 매출관리 , 쇼핑몰관리 , 온라인영업 , 온라인마케팅 외 등록일 26/06/16",인천 연수구 | 경력무관 | 학력무관 | 정규직,ecommerce_shopping,,false,,마케터,이커머스/쇼핑몰,"matched: 쇼핑몰, 이커머스, 커머스"
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193073,saramin,고객센터,(주)에르모어,KOSDAQ 꿈비 자회사,KOSDAQ 꿈비 자회사,[KOSDAQ 꿈비 자회사]자사몰MD팀 부문별(AMD/ 콘텐츠기획/ 촬영),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193073&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,경기 용인시 기흥구,신입·경력,고졸↑,정규직,~ 07/16(목) 입사지원,"영업MD , 브랜드MD , 포토그래퍼 , 촬영 , 전자상거래 외 수정일 26/06/16",경기 용인시 기흥구 | 신입·경력 | 고졸↑ | 정규직,manufacturing_after_service,,false,,,이커머스/쇼핑몰,matched: 자사몰
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193049,saramin,고객센터,(주)휴로넷,신림역/경력무관/칼퇴,신림역/경력무관/칼퇴,[신림역/경력무관/칼퇴] 브로드밴드TS 상담직 채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193049&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,서울전체,경력,학력무관,계약직,~ 06/19(금) 입사지원,"콜센터/고객센터 , 상담원 , 인바운드 , 전화상담 , 고객관리 외 등록일 26/06/16",서울전체 | 경력 | 학력무관 | 계약직,,고객센터;상담원;인바운드;콜센터;전화상담,true,고객센터;상담원;인바운드;콜센터;전화상담,,통신,matched: 브로드밴드
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193039,saramin,고객센터,(주)휴로넷,부천역/신입가능/칼퇴,부천역/신입가능/칼퇴,[부천역/신입가능/칼퇴] 브로드밴드TS 요금제 혜택안내 부서,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193039&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,경기 광명시,경력,학력무관,계약직,~ 06/19(금) 입사지원,"콜센터/고객센터 , 상담원 , 인바운드 , 전화상담 , 고객관리 외 등록일 26/06/16",경기 광명시 | 경력 | 학력무관 | 계약직,,고객센터;상담원;인바운드;콜센터;전화상담,true,고객센터;상담원;인바운드;콜센터;전화상담,,통신,"matched: 브로드밴드, 요금제"
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54193038,saramin,고객센터,티에이케이정보시스템(주),티에이케이정보시스템,티에이케이정보시스템,[티에이케이정보시스템] 영림원 ERP 구축 개발자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54193038&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,서울 강서구,신입,대졸↑,정규직,~ 06/28(일) 홈페이지 지원,"기술지원 , 백엔드/서버개발 , 웹개발 , 프론트엔드 , IT컨설팅 외 등록일 26/06/16",서울 강서구 | 신입 | 대졸↑ | 정규직,it_platform_saas,,false,,개발자,IT/SaaS/플랫폼,"matched: IT, SaaS, saas, 시스템, ERP"
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54192993,saramin,고객센터,(주)휴로넷,,(주)휴로넷,브로드밴드티에스 상담원 채용[유선상품안내/변경/신림],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54192993&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,서울전체,경력,학력무관,계약직,~ 06/19(금) 입사지원,"콜센터/고객센터 , 상담원 , 인바운드 , 전화상담 , 고객관리 외 등록일 26/06/16",서울전체 | 경력 | 학력무관 | 계약직,telecom_media,고객센터;상담원;인바운드;콜센터;전화상담,true,고객센터;상담원;인바운드;콜센터;전화상담,,통신,"matched: 브로드밴드, 유선"
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54192978,saramin,고객센터,(주)휴로넷,,(주)휴로넷,브로드밴드티에스 상담원 채용[유선상품안내/변경/부천],https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54192978&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,경기 광명시,경력,학력무관,계약직,~ 06/19(금) 입사지원,"콜센터/고객센터 , 상담원 , 인바운드 , 전화상담 , 고객관리 외 등록일 26/06/16",경기 광명시 | 경력 | 학력무관 | 계약직,telecom_media,고객센터;상담원;인바운드;콜센터;전화상담,true,고객센터;상담원;인바운드;콜센터;전화상담,,통신,"matched: 브로드밴드, 유선"
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54192961,saramin,고객센터,알피니언메디칼시스템㈜,일진그룹,일진그룹,[일진그룹] 초음파 Probe 품질검사 채용 (사원급),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54192961&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,경기 안양시 동안구,경력무관,고졸↑,정규직,~ 07/16(목) 입사지원,"단순생산직 , 외관검사원 , 품질검사원 , QC , 전기 외 등록일 26/06/16",경기 안양시 동안구 | 경력무관 | 고졸↑ | 정규직,manufacturing_after_service,,false,,,IT/SaaS/플랫폼,matched: 시스템
https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=54192948,saramin,고객센터,에스엠서치플러스(주),,에스엠서치플러스(주),양동시장 [8월말/9월말 택1] LG전자 콜센터 AS접수상담 -M20,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54192948&location=ts&searchword=%EA%B3%A0%EA%B0%9D%EC%84%BC%ED%84%B0&searchType=search&paid_fl=n&search_uuid=cbfec878-e724-47b7-8f0e-3755dbff6802,광주 서구,경력무관,학력무관,정규직·계약직,채용시 입사지원,"콜센터/고객센터 , 상담원 , 인바운드 , 전화상담 , 고객관리 외 등록일 26/06/16",광주 서구 | 경력무관 | 학력무관 | 정규직·계약직,rental_subscription_as;manufacturing_after_service,고객센터;상담원;인바운드;콜센터;AS;전화상담,true,고객센터;상담원;인바운드;콜센터;AS접수;전화상담,,렌탈/구독/AS,"matched: AS, AS접수"
